                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241209"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  3.1250000000000005E+003                  4.0000000000000000E+000                 -9.8999999999999986E+001                  3.4948500216800937E+000                                     2477                  8.3424744425516906E-001                  2.0836771036722085E-001                  7.8127319473257466E-008                  9.9999999982370058E-001                  9.9999999945554519E-001                  2.0836771036722085E-001                  7.8127319473257466E-008                  9.9999999982370058E-001                  9.9999999945554519E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6966878386343157E+032                  1.2997733883875856E+033                  1.8092546049036186E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.6305635037963419E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3764969560522453E+000                 -3.4606023605699441E+001                 -1.2847379800543134E+001                  2.3764969560522458E+000                  4.1733282557156315E+000                  2.5378770550589840E+002                  2.4044705793021226E+000                  3.7823193908429598E-001                  4.2836637404625035E+000                  1.9216033202746148E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4107151355837413E+000                  1.4395589684099517E+000                  1.6984569265978632E+001                  6.1730795502914526E-001                  8.4954326236159072E-001                  6.9908602966551370E-001                  2.8034956850313697E-001                  4.3718729521258971E-005                  9.3463080695949628E-003                  3.4468833607860629E-003                  9.3805276451495081E-003                  2.7990696790163674E+000                  1.1202394940381983E+000                  1.2705347151601876E+000                  2.3410630890330446E+000                 -3.4606023605699441E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  3.1250000000000005E+003                  1.1999999999927465E+002                  4.8147055736622701E+002                  1.9518357954057555E+002                  7.8073431816230228E+000                  7.5736677732006740E+001                  3.1046312093484335E+002                 -9.6845535177552899E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999709567616981E+054                 -1.0615456095835673E+032                  0.0000000000000000E+000                 -1.0615456095835673E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      10                  8.1120881600000008E+004                  4.0000000000000000E+000                 -9.8999999999999986E+001                  4.2074812361087170E+000                                      998                  7.8839475511770607E-001                  1.9600702418029414E-001                  7.8127319306724012E-008                  9.9999999982370058E-001                  9.9999999947693385E-001                  1.9930136163766388E-001                  7.8127319306724012E-008                  9.9999999982370058E-001                  9.9999999947693385E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8111774621976973E+032                  1.3189084977636046E+033                  1.8252311185138477E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.6482629710756459E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3807900991148623E+000                 -3.4545600265945367E+001                 -9.8999999999999986E+001                  2.3807900991148623E+000                  4.1711423450928145E+000                  2.4134690908712739E+002                  2.3826417412114731E+000                  3.7168934128460474E-001                  4.2967489360618858E+000                  1.9803818438410071E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4120608427112780E+000                  1.4404662315412229E+000                  1.6986789588255256E+001                  6.1740805294417311E-001                  8.4943798752726996E-001                  6.9887551279477533E-001                  2.8056233070866338E-001                  4.0041937576258125E-005                  9.3242301523389914E-003                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.7988786435533659E+000                  1.1204145104479672E+000                  1.2656610454303341E+000                  2.3461266553362585E+000                 -3.4545600265945367E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  8.1120881599999993E+004                  1.1999999998118555E+002                  4.8147055731784161E+002                  1.9518357955038303E+002                  7.8073431820153214E+000                  7.5736677724395577E+001                  3.1046312090364330E+002                 -9.6892700673524224E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999709565004123E+054                 -1.0615456098947174E+032                  0.0000000000000000E+000                 -1.0615456098947174E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      20                  5.8339999881991802E+005                  4.0000000000000000E+000                 -9.8999999999999986E+001                  4.9992936965849655E+000                                      994                  8.1403033392321023E-001                  2.0094910717331171E-001                  7.8127319306724012E-008                  9.9999999982370058E-001                  9.9999999948009977E-001                  2.1084149873786606E-001                  7.8127319306724012E-008                  9.9999999982370058E-001                  9.9999999948009977E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8965478113534455E+032                  1.3320066484752499E+033                  2.1426550941683214E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4728095457556413E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3756850721074452E+000                 -3.4527748917837449E+001                 -1.3245319809215172E+001                  2.3756850721074456E+000                  4.1700594466298773E+000                  2.3729729068272039E+002                  2.3752927797333045E+000                  3.7018065747139584E-001                  4.2997663036883038E+000                  1.9941889418766943E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4124171342889982E+000                  1.4381836921770210E+000                  1.6984469182772710E+001                  6.1802739504648985E-001                  8.4878705068656679E-001                  6.9757363715703968E-001                  2.8188109341386269E-001                  4.0984850417115592E-005                  9.1903438792305826E-003                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.7976518446266021E+000                  1.1215745119409986E+000                  1.2561623720948847E+000                  2.3413846921459625E+000                 -3.4527748917837449E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  5.8339999881991791E+005                  1.1999999986469534E+002                  4.8147055700624941E+002                  1.9518357961354130E+002                  7.8073431845416525E+000                  7.5736677675381230E+001                  3.1046312070272165E+002                 -9.6903476306883107E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999709548177854E+054                 -1.0615456118984620E+032                  0.0000000000000000E+000                 -1.0615456118984620E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      30                  3.6933799031214025E+006                  4.0000000000000000E+000                 -9.8999999999999986E+001                  5.7911061570612130E+000                                      982                  8.7089737742077689E-001                  2.1743936041902268E-001                  7.8127319306724012E-008                  9.9999999981198184E-001                  9.9999999946372620E-001                  2.2403708306919834E-001                  7.8127319306724012E-008                  9.9999999981198184E-001                  9.9999999946372620E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0145877039446467E+032                  1.3386005384160009E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3761522353142142E+000                 -3.4547094367738659E+001                 -1.2847379800543134E+001                  2.3761522353142142E+000                  4.1679195343092710E+000                  2.3731311968079979E+002                  2.3753217485311748E+000                  3.7447496651154188E-001                  4.2911776856080115E+000                  1.9551392104500148E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4114833600759011E+000                  1.4312418197079138E+000                  1.6974007050158864E+001                  6.2181801697680050E-001                  8.4483255135638080E-001                  6.8966463759736429E-001                  2.8988032067094910E-001                  4.5748758256576495E-005                  8.4747933231931940E-003                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.7901120936150718E+000                  1.1290301079626381E+000                  1.2365701179463353E+000                  2.3434599093008708E+000                 -3.4547094367738659E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  3.6933799031214016E+006                  1.1999999914341882E+002                  4.8147055507695268E+002                  1.9518358000460057E+002                  7.8073432001840226E+000                  7.5736677371897414E+001                  3.1046311945866739E+002                 -9.6872705952931937E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999709443994051E+054                 -1.0615456243051169E+032                  0.0000000000000000E+000                 -1.0615456243051169E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      40                  2.2949555749516964E+007                  4.0000000000000000E+000                 -9.8999999999999986E+001                  6.5829186175374614E+000                                      960                  8.3616035659926224E-001                  2.0754316129519201E-001                  7.8127319306724012E-008                  9.9999999978151322E-001                  9.9999999934418393E-001                  2.1743936041902268E-001                  7.8127319306724012E-008                  9.9999999978151322E-001                  9.9999999934418393E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1705214414753094E+032                  1.3013289689078452E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3957338859192552E+000                 -3.4505227681471652E+001                 -9.8999999999999986E+001                  2.3957338859192552E+000                  4.1586051562271980E+000                  2.4843597650712735E+002                  2.3952144871050609E+000                  4.0305009196263203E-001                  4.2340274347058315E+000                  1.7140655828877698E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4088089450795307E+000                  1.4106742259971126E+000                  1.6933048835924875E+001                  6.4819520222109284E-001                  8.1862026513324582E-001                  6.3724013615991215E-001                  3.4265808438305628E-001                  6.4361627663659521E-005                  5.6752161135083610E-003                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.7425263346485451E+000                  1.1767488512983784E+000                  1.1424556257350937E+000                  2.3707927080021487E+000                 -3.4505227681471652E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  2.2949555749516960E+007                  1.1999999467746458E+002                  4.8147054313125545E+002                  1.9518358242593658E+002                  7.8073432970374625E+000                  7.5736675492805531E+001                  3.1046311175581127E+002                 -9.6660020091206822E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999708798915364E+054                 -1.0615457011238695E+032                  0.0000000000000000E+000                 -1.0615457011238695E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      50                  5.7534300872441940E+007                  4.0000000000000000E+000                 -9.8999999999999986E+001                  6.4692458875205885E+000                                      957                  7.3511928911230962E-001                  1.8203034157182085E-001                  7.8127319306724012E-008                  9.9999999967057607E-001                  9.9999999901335579E-001                  1.8860197224091790E-001                  7.8127319306724012E-008                  9.9999999967057607E-001                  9.9999999901335579E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4095671675470369E+032                  1.2273706368854595E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4408323175454862E+000                 -3.3982598475266904E+001                 -1.3245319809215172E+001                  2.4408323175454862E+000                  4.1445698194563798E+000                  2.7565699321568928E+002                  2.4403690146874428E+000                  4.5369802929545766E-001                  4.1327315600401802E+000                  1.3574741245215575E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4139521362343013E+000                  1.4028364591339486E+000                  1.6890221432710135E+001                  7.1226565302914702E-001                  7.6307703831555307E-001                  5.2615386906968709E-001                  4.5407843030823897E-001                  8.3851167137292403E-005                  3.0330485829730600E-003                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.6505467912658056E+000                  1.2689129864992514E+000                  9.8677061806207289E-001                  2.4252916461741814E+000                 -3.3982598475266904E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  5.7534300872441940E+007                  1.1999998665645859E+002                  4.8147052167637594E+002                  1.9518358677473887E+002                  7.8073434709895553E+000                  7.5736672117892411E+001                  3.1046309792121889E+002                 -9.6246885525971348E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999707640332020E+054                 -1.0615458709064184E+032                  0.0000000000000000E+000                 -1.0615458709064184E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      60                  8.3800400988504186E+007                  4.0000000000000000E+000                 -9.8999999999999986E+001                  6.3757184718746647E+000                                      955                  6.4264250065006678E-001                  1.5914986123949426E-001                  7.8127319306724012E-008                  9.9999999951745122E-001                  9.9999999855515764E-001                  1.6566376093641166E-001                  7.8127319306724012E-008                  9.9999999951745122E-001                  9.9999999855515764E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5392863399114281E+032                  1.1470614217940522E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4797222150550087E+000                 -3.3372479274297362E+001                 -9.8999999999999986E+001                  2.4797222150550087E+000                  4.1305000198001052E+000                  3.0144730096240755E+002                  2.4792113997210912E+000                  5.0125882112483300E-001                  4.0376099763814288E+000                  1.0904605947356931E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4226354682531879E+000                  1.4107094226945274E+000                  1.6864908667413712E+001                  7.8597210154010289E-001                  7.1039756965839940E-001                  4.2079504597937401E-001                  5.5958901823522655E-001                  9.4980454729223462E-005                  1.8364469652541830E-003                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.5737508071937607E+000                  1.3457804265149358E+000                  8.2441337477774890E-001                  2.4700099041466310E+000                 -3.3372479274297362E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  8.3800400988504186E+007                  1.1999998056473905E+002                  4.8147050538202183E+002                  1.9518359007752733E+002                  7.8073436031010930E+000                  7.5736669554744523E+001                  3.1046308741425031E+002                 -9.5812521236170844E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999706760421811E+054                 -1.0615459993791211E+032                  0.0000000000000000E+000                 -1.0615459993791211E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      70                  1.0476553340801552E+008                  4.0000000000000000E+000                 -9.8999999999999986E+001                  6.2765360721386712E+000                                      963                  5.5460954523697292E-001                  1.3815843630769542E-001                  7.8127319084679407E-008                  9.9999999928620120E-001                  9.9999999783117799E-001                  1.4297518348618554E-001                  7.8127319084679407E-008                  9.9999999928620120E-001                  9.9999999783117799E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5609204511966332E+032                  1.0522805214700083E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5127609978595222E+000                 -3.2679014602632492E+001                 -9.8999999999999986E+001                  2.5127609978595222E+000                  4.1139306062037795E+000                  3.2520553936860017E+002                  2.5121579345134428E+000                  5.5087091571366009E-001                  3.9383857872037753E+000                  8.6773234696781092E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4336311900628989E+000                  1.4302516400794552E+000                  1.6848873530207275E+001                  8.7703905132735283E-001                  6.5754527649401207E-001                  3.1509051845551711E-001                  6.6537770946004626E-001                  1.0357948359366097E-004                  1.1760140214230619E-003                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.5072519499216823E+000                  1.4123056650729882E+000                  6.3190833953299774E-001                  2.5070091898273019E+000                 -3.2679014602632492E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  1.0476553340801553E+008                  1.1999997570243688E+002                  4.8147049237615806E+002                  1.9518359271375448E+002                  7.8073437085501789E+000                  7.5736667508885446E+001                  3.1046307902777482E+002                 -9.5305766116419766E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999706058093114E+054                 -1.0615461020644260E+032                  0.0000000000000000E+000                 -1.0615461020644260E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      80                  1.2148117925891554E+008                  4.0000000000000000E+000                 -9.8999999999999986E+001                  6.1776960300724744E+000                                      958                  4.7170873182450090E-001                  1.1754291342631873E-001                  7.8127319306724012E-008                  9.9999999888463897E-001                  9.9999999663410066E-001                  1.1792718295612523E-001                  7.8127319306724012E-008                  9.9999999888463897E-001                  9.9999999663410066E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4692856007098918E+032                  9.3782906677458949E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5393538904823791E+000                 -3.1826633656512904E+001                 -9.8999999999999986E+001                  2.5393538904823791E+000                  4.0943888629328216E+000                  3.4564450384517858E+002                  2.5386296554794439E+000                  6.0319026273857534E-001                  3.8337470931539448E+000                  6.8194145701940297E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4477515380419153E+000                  1.4645229322473337E+000                  1.6844874376738034E+001                  9.9225031330303914E-001                  6.0458442605341900E-001                  2.0916884274116812E-001                  7.7134843234164241E-001                  1.1170612391823559E-004                  7.9507622508124751E-004                  3.4468833607860629E-003                  9.3805276451495063E-003                  2.4505314579641664E+000                  1.4690310860306925E+000                  3.9908099383874041E-001                  2.5361982444524713E+000                 -3.1826633656512904E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  1.2148117925891556E+008                  1.1999997182568931E+002                  4.8147048200649169E+002                  1.9518359481563695E+002                  7.8073437926254785E+000                  7.5736665877707665E+001                  3.1046307234117916E+002                 -9.4704779123585980E-001                 -1.0000000000000000E+000                  4.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1999705498121518E+054                 -1.0615461839270279E+032                  0.0000000000000000E+000                 -1.0615461839270279E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
